,r2,mae,rmse,mse,mape,explained_variance,pearson_r,pearson_p,spearman_r,spearman_p,max_error,median_ae
Random Forest,0.37598025663638146,0.7533034558305571,0.960541538064136,0.922640046346616,0.10888299614667889,0.37606614232271196,0.6148653340348978,2.6277533291159276e-192,0.607038658424033,3.405051602427825e-186,5.009350305525644,0.6296025301238704
XGBoost,0.38716097581005227,0.7500040430057654,0.9518975112198241,0.9061088718664952,0.10847753843844679,0.3871739704200682,0.622681149823834,1.384370585371336e-198,0.6161013574105675,2.7445302059762933e-193,4.959602931223939,0.6298801803588869
